run_id,trial,period_us,period_ms,quota_us,is_unlimited,workers,pattern,target_rate,achieved_rps,total_scheduled,total_completed,total_success,total_503,total_errors,client_dropped,missed_arrivals,e2e_p50,e2e_p95,e2e_p99,e2e_max,service_p50,service_p95,service_p99,service_max,dispatch_lag_mean,dispatch_lag_p99,delta_usage_usec,delta_nr_periods,delta_nr_throttled,delta_throttled_usec,throttling_pct,cpu_usage_cores,mean_temp_c,max_temp_c,core01_util,core24_util
p100_w1_bursty_high,1,100000,100.0,50000,False,1,bursty,80.0,80.0127305495138,1600,1600,1600,0,0,0,0,4.818524,6.068421,6.812159,11.84407,4.083425,5.23523,6.215783,9.470721,0.56456901125,1.070625,6913759,200,0,0,0.0,0.34553918598176897,0.0,0.0,0.0,0.0
p100_w1_bursty_mod,1,100000,100.0,50000,False,1,bursty,50.0,49.9728463485226,999,999,999,0,0,0,0,5.615738,6.690251,7.112143,7.7216,5.051368,6.063863,6.373465,6.623565,0.5904963013013014,1.078381,4902700,200,0,0,0.0,0.2451132217025074,0.0,0.0,0.0,0.0
p100_w1_steady_high,1,100000,100.0,50000,False,1,steady,80.0,80.04980893633054,1600,1600,1600,0,0,0,0,4.976016,5.900498,6.189127,8.488053,4.409049,5.094869,5.297228,7.876387,0.565644254375,1.072212,7028066,200,0,0,0.0,0.3514475617979594,0.0,0.0,0.0,0.0
p100_w1_steady_mod,1,100000,100.0,50000,False,1,steady,50.0,50.04938526746201,1000,1000,1000,0,0,0,0,5.556037,6.490679,7.107439,7.882307,5.082899,5.957765,6.376322,7.102036,0.568911551,1.079354,4827754,200,0,0,0.0,0.24149707034032677,47.79,49.0,12.0,18.25
p100_w4_bursty_high,1,100000,100.0,50000,False,4,bursty,80.0,80.01217137949929,1600,1600,1600,0,0,0,0,4.967907,6.430331,6.678408,6.915666,4.274913,5.681444,5.789437,6.043645,0.569327459375,1.061479,6872587,201,0,0,0.0,0.34349173812435096,0.0,0.0,0.0,0.0
p100_w4_steady_high,1,100000,100.0,50000,False,4,steady,80.0,80.0491841439209,1600,1600,1600,0,0,0,0,5.258394,6.057682,6.411015,7.703964,4.72041,5.190404,5.495729,7.402811,0.56156770125,1.086411,7380835,200,0,0,0.0,0.3690587407078518,0.0,0.0,0.0,0.0
p10_w1_bursty_high,1,10000,10.0,5000,False,1,bursty,80.0,80.01210115019612,1600,1600,1600,0,0,0,0,4.875378,6.088271,6.493179,11.087509,4.141919,5.250753,5.853134,10.181414,0.568656758125,1.058165,6935787,2001,57,211611,2.848575712143928,0.34663751399893933,0.0,0.0,0.0,0.0
p10_w1_steady_high,1,10000,10.0,5000,False,1,steady,80.0,80.04921812167598,1600,1600,1600,0,0,0,0,5.358481,6.081547,6.342716,9.625404,4.885768,5.209307,5.497928,8.263424,0.561137593125,1.073933,7498689,2000,59,216093,2.9499999999999997,0.3749477087696458,0.0,0.0,0.0,0.0
p10_w4_bursty_high,1,10000,10.0,5000,False,4,bursty,80.0,80.00989964488554,1600,1600,1600,0,0,0,0,4.793094,6.048724,6.73788,11.431012,4.067197,5.191419,6.229048,10.585989,0.5648082118750001,1.075261,6823266,2001,33,57042,1.6491754122938531,0.34102215887425824,0.0,0.0,0.0,0.0
p10_w4_steady_high,1,10000,10.0,5000,False,4,steady,80.0,80.04631666790554,1600,1600,1600,0,0,0,0,5.408394,6.121616,6.44343,7.999882,4.897087,5.294603,5.826732,7.151281,0.5669573287499999,1.070248,7582168,2000,68,292581,3.4000000000000004,0.37912043529195444,0.0,0.0,0.0,0.0
unlim_w1_steady_high,1,0,0.0,0,True,1,steady,80.0,80.0485707951338,1600,1600,1600,0,0,0,0,5.351391,6.094549,6.624963,7.783597,4.894239,5.302415,5.904746,6.72618,0.565718626875,1.072107,7468147,0,0,0,0.0,0.3734246024220154,0.0,0.0,0.0,0.0
unlim_w4_steady_high,1,0,0.0,0,True,4,steady,80.0,80.0464643870759,1600,1600,1600,0,0,0,0,5.263816,6.115045,6.539666,7.540182,4.740781,5.297885,5.770873,6.337678,0.575402870625,1.066571,7282302,0,0,0,0.0,0.3641408039710707,0.0,0.0,0.0,0.0
