period_us,workers,load,pattern,n,mean_p99_ms,median_p99_ms,min_p99_ms,max_p99_ms,sd_p99_ms,mean_p50_ms,mean_throttle_fraction,mean_cpu_cores,mean_successful_rps,total_scheduled,total_errors,total_rejected,cv_p99
0,1,high,bursty,5,6.461408199999999,6.474247,6.397895,6.482211,0.03584928740156484,4.2968798,0.0,0.4473820753437665,113.21537650753086,33965,0,0,0.0055482158520126995
0,1,high,steady,5,5.9275846,5.925567,5.875232,5.966366,0.03463835026816376,4.9902136,0.0,0.48941460121468533,113.21569196264583,33965,0,0,0.005843585980732145
0,1,moderate,bursty,5,6.5369184,6.533738,6.468152,6.587271,0.048196490767482246,5.6934272,0.0,0.32301831129394776,66.59815598961052,19980,0,0,0.007372968089594364
0,1,moderate,steady,5,6.6052843999999995,6.611654,6.56202,6.62902,0.02590331788207823,5.8175326,0.0,0.32791785418743497,66.59923929291467,19980,0,0,0.0039216052350566815
0,2,high,bursty,5,6.451768799999999,6.451662,6.395441,6.4965,0.04057499266420168,4.3025314,0.0,0.44752372601009044,113.21562520939408,33965,0,0,0.00628897189623436
0,2,high,steady,5,5.9340868,5.931446,5.905803,5.966621,0.021667063165090227,5.0072612,0.0,0.48905183901182603,113.21550034384788,33965,0,0,0.003651288546215776
0,2,moderate,bursty,5,6.5050724,6.518068,6.45696,6.537051,0.03244999285516148,5.6744148,0.0,0.32284496906681315,66.59806069781726,19980,0,0,0.0049884137884708985
0,2,moderate,steady,5,6.6054464,6.594742,6.571134,6.690504,0.049159600270953965,5.8262408,0.0,0.328431515859877,66.5992956129201,19980,0,0,0.007442282821484097
0,4,high,bursty,5,6.459906599999999,6.467261,6.393737,6.514327,0.04323312908291492,4.3005696,0.0,0.4474473212333917,113.21524795742899,33965,0,0,0.006692531604545943
0,4,high,steady,5,5.9428274000000005,5.943378,5.925923,5.961615,0.013806794678707969,5.0077766,0.0,0.4884732400508417,113.21523115842493,33965,0,0,0.0023232703474962047
0,4,moderate,bursty,5,6.5138062,6.524841,6.430643,6.565423,0.04983968151182361,5.6855046,0.0,0.32324706028009503,66.59834420277836,19980,0,0,0.007651391518498601
0,4,moderate,steady,5,6.620488399999999,6.630636,6.558022,6.649824,0.03783384835435043,5.8343036,0.0,0.32857556024082185,66.5992194304973,19980,0,0,0.005714661225650728
10000,1,high,bursty,5,1075.0123724,1069.400584,1038.266104,1132.526558,40.01876633649547,496.59847,0.6661761452736795,0.41965176137698706,104.94541694597851,33965,0,1939,0.03722633093715217
10000,1,high,steady,5,23.6466826,19.008103,13.438673,51.263314,15.732371596208639,5.5051414,0.6333029217352664,0.48811991537195043,113.21321442345129,33965,0,0,0.6653098814041949
10000,1,moderate,bursty,5,6.610562,6.616661,6.471924,6.712711,0.09402530184211062,5.6666365999999995,0.06058890117306912,0.3224960803180997,66.59848017687196,19980,0,0,0.014223495951193049
10000,1,moderate,steady,5,6.605207,6.606446,6.584779,6.632517,0.018059589128770266,5.8089394,0.044825862356273956,0.3276343262737859,66.59930038084713,19980,0,0,0.00273414430899293
10000,2,high,bursty,5,1306.8678862000002,1315.965355,1260.215051,1350.303112,36.90253745056024,767.5477094,0.7441644940788096,0.4409093701280954,95.40650820650427,33965,0,4721,0.02823738944099569
10000,2,high,steady,5,355.77065419999997,127.956105,83.750214,1296.248243,526.3683355082485,257.3973724,0.8912425114583205,0.4946619183798247,111.90126945657339,33965,0,257,1.479515888380005
10000,2,moderate,bursty,5,18.367879199999997,15.81636,6.535889,40.921378,14.19908635929075,5.6805031999999995,0.07094613014808006,0.3227184235385515,66.59821959054327,19980,0,0,0.7730389668117347
10000,2,moderate,steady,5,6.6276644000000005,6.6232,6.605078,6.652596,0.0177285959201509,5.8279654,0.052694973060045544,0.3283294523336739,66.59923803759644,19980,0,0,0.002674938688831453
10000,4,high,bursty,5,1248.3308924,1212.824228,1169.284135,1349.884964,85.36408147941376,619.1414098,0.7004511381722722,0.43075369771851574,102.96789048500037,33965,0,2451,0.06838257548469026
10000,4,high,steady,5,429.831459,215.011442,106.983431,1423.289363,557.2637982340178,275.4428026,0.9098696662425013,0.49468954798020326,110.87940142285781,33965,0,553,1.296470480616957
10000,4,moderate,bursty,5,6.640663999999999,6.568203,6.474666,6.996253,0.20491643659428624,5.6742224,0.056282159130564925,0.3231188567358087,66.59821040368226,19980,0,0,0.03085782334331119
10000,4,moderate,steady,5,6.596457200000001,6.598953,6.548114,6.624385,0.029516663161678853,5.8144098,0.0468967505415764,0.3277758962485693,66.59914797103201,19980,0,0,0.0044746236148820685
50000,1,high,bursty,5,1005.9932572,1002.828064,1000.938429,1021.517293,8.731529426256795,502.21217340000004,0.64781102489275,0.4237516118000161,104.43175137329601,33965,0,2127,0.00867951088515188
50000,1,high,steady,5,7.354925,7.464328,7.009832,7.644004,0.3136674212856671,5.0189982,0.3381165695253955,0.48953678209724627,113.21506641428839,33965,0,0,0.04264726306327626
50000,1,moderate,bursty,5,6.551554,6.578506,6.48415,6.611251,0.05504963515319618,5.6876826000000005,0.010996669442131558,0.3235703736050346,66.59801342614949,19980,0,0,0.0084025309343701
