comparison,workers,load,pattern,ratio,ci_low,ci_high,p,period_us,p_holm_62
250ms / 10ms,1.0,high,bursty,0.44550408291460275,0.42489098005097786,0.4671172070298329,1.1892277502285512e-09,,6.540752626257031e-08
250ms / 10ms,1.0,high,steady,0.28895163552668285,0.1478764866122678,0.5646134120866948,0.0067644177888973285,,0.2367546226114065
250ms / 10ms,1.0,moderate,bursty,0.9836264950309177,0.966413846626236,1.0011457152693304,0.06221815761900038,,1.0
250ms / 10ms,1.0,moderate,steady,0.9966555324362741,0.9886713811553145,1.0047041608254947,0.33865428545097986,,1.0
250ms / 10ms,2.0,high,bursty,0.5528940522369062,0.5341015736124842,0.5723477482594737,4.931144362322295e-08,,2.5641950684075934e-06
250ms / 10ms,2.0,high,steady,0.03125836995902349,0.008019833930331517,0.12183365652994164,0.002108519693607923,,0.08644930743792484
250ms / 10ms,2.0,moderate,bursty,0.45363551932537455,0.1696713846671872,1.2128455531688669,0.0894489254470111,,1.0
250ms / 10ms,2.0,moderate,steady,0.9911382866909713,0.9841508413463211,0.9981753427156038,0.022157348107906392,,0.7090351394530046
250ms / 10ms,4.0,high,bursty,0.9116028662759181,0.7043054267534328,1.1799139325578385,0.3952555488002009,,1.0
250ms / 10ms,4.0,high,steady,0.022304826223759847,0.006576224272136025,0.07565211469141851,0.000984452482515115,,0.043315909230665056
250ms / 10ms,4.0,moderate,bursty,0.9853663168563093,0.9491851081884507,1.0229266873434737,0.34123375026206226,,1.0
250ms / 10ms,4.0,moderate,steady,1.0006977591974346,0.9901009442045742,1.011407989381595,0.8779254833793505,,1.0
4 workers / 1 worker,,high,bursty,0.9997620295711928,0.9907667073556641,1.0088390216906056,0.9528433462806983,0.0,1.0
4 workers / 1 worker,,high,steady,1.0025830569790029,0.9954475310145959,1.0097697315265368,0.3998006603659349,0.0,1.0
4 workers / 1 worker,,moderate,bursty,0.996462618955551,0.9855750349155884,1.0074704774363505,0.4781881539883299,0.0,1.0
4 workers / 1 worker,,moderate,steady,1.0022948361121873,0.994975342642895,1.0096681751215153,0.4843644270384896,0.0,1.0
4 workers / 1 worker,,high,bursty,1.1597155262661412,1.0663803174840059,1.2612199229595444,0.004801576561706015,10000.0,0.18291594580425619
4 workers / 1 worker,,high,steady,12.84680369862053,3.8010564910553475,43.419603381129264,0.002032015677072441,10000.0,0.08534465843704252
4 workers / 1 worker,,moderate,bursty,1.004261231317287,0.9676065286305127,1.0423044810935043,0.7867473571568352,10000.0,1.0
4 workers / 1 worker,,moderate,steady,0.9986702836852844,0.9930748349475008,1.0042972598019477,0.5896130502711272,10000.0,1.0
4 workers / 1 worker,,high,bursty,1.3744558909917788,1.359883136559234,1.3891848097049457,7.799711319663962e-08,50000.0,3.9778527730286206e-06
4 workers / 1 worker,,high,steady,0.9358229879773438,0.887887537171567,0.9863463875353611,0.02377369895211185,50000.0,0.7369846675154673
4 workers / 1 worker,,moderate,bursty,0.9938913353942177,0.9831174542454307,1.0047832863773942,0.227224998430306,50000.0,1.0
4 workers / 1 worker,,moderate,steady,1.0070739471235954,1.0009272374718767,1.0132584038143875,0.029144355252535697,50000.0,0.7868975918184639
4 workers / 1 worker,,high,bursty,5.192678922743915,5.040326301642664,5.349636666562886,2.9214619201047914e-11,100000.0,1.694447913660779e-09
4 workers / 1 worker,,high,steady,0.9874705285341531,0.977771759993564,0.9972655016442059,0.01864583645637122,100000.0,0.6153126030602503
4 workers / 1 worker,,moderate,bursty,0.9999655487760948,0.9896775688518651,1.0103604751789075,0.9940139767769898,100000.0,1.0
4 workers / 1 worker,,moderate,steady,1.0015663239558195,0.991687849529678,1.0115432005727656,0.7068773877891834,100000.0,1.0
4 workers / 1 worker,,high,bursty,2.3730422197085685,1.827456068615315,3.0815128599979396,0.0007117791901849349,250000.0,0.032030063558322074
4 workers / 1 worker,,high,steady,0.9916736532956065,0.984673750972387,0.9987233169052281,0.02758023105054399,250000.0,0.773949848626325
4 workers / 1 worker,,moderate,bursty,1.0060375515134865,0.9961713670786904,1.0160014516611795,0.19118082380917106,250000.0,1.0
4 workers / 1 worker,,moderate,steady,1.0027206818568781,0.9914138851377848,1.0141564294147314,0.5923041001929112,250000.0,1.0
bursty / steady,1.0,high,,1.0900589547549209,1.0810128044386256,1.0991808052250063,1.0442956337530394e-08,0.0,5.534766858891109e-07
bursty / steady,1.0,moderate,,0.9896343526116109,0.9806549048925172,0.9986960213861827,0.031193617789713052,0.0,0.8110340625325394
bursty / steady,2.0,high,,1.087227272278575,1.0787390712197402,1.0957822638701133,1.0289416017711105e-07,0.0,5.144708008855553e-06
bursty / steady,2.0,moderate,,0.9848162351517858,0.9755555799327035,0.9941647989809471,0.006453173565537294,0.0,0.23231424835934256
bursty / steady,4.0,high,,1.0869917912255886,1.0781365115690378,1.0959198037661058,1.656283243145664e-06,0.0,7.950159567099187e-05
bursty / steady,4.0,moderate,,0.9838758050843323,0.9740663859464067,0.9937840108195698,0.006097993739409528,0.0,0.22562576835815254
bursty / steady,1.0,high,,51.98773647537491,26.629118104542634,101.49509019496868,7.701871794888087e-05,10000.0,0.00354286102564852
bursty / steady,1.0,moderate,,1.000732402637453,0.983312174031182,1.018461245712973,0.915341576373944,10000.0,1.0
bursty / steady,2.0,high,,6.865915750985315,1.7620108062905238,26.753978426994713,0.017049099552484563,10000.0,0.5796693847844752
