iterations,rate,period_us,quota_us,workers,pattern,burst_low,burst_high,load,trial,run_id,order,timestamp,segment_raw,p99_ms,p95_ms,p50_ms,successful_rps,scheduled,success,errors,rejected,lag_p99_ms,cpu_cores,throttle_fraction,nr_throttled,start_temp_c,mean_temp_c,max_temp_c,monitor_samples,drain_elapsed_s,host_cpu_pct,client_cpu_peak_pct,power_variant,segment,failure_fraction,log_p99,cell
44000,66.59,50000,25000,4,bursty,33.295,99.885,moderate,2,p50000_w4_moderate_bursty_r2,1,1790007615.3142097,0,6.481113,6.248935,5.647641,66.59815316883441,3996,3996,0,0,1.07355,0.3219894616077704,0.0008333333333333334,1,42.61538461538461,46.50646551724138,49.375,58,60.001663858,3.62448275862069,12.75,44a214c22e,1,0.0,1.8688922548745097,50000_4_moderate_bursty
44000,113.21,250000,125000,4,bursty,56.605,169.815,high,5,p250000_w4_high_bursty_r5,2,1790007782.1640587,0,1140.122738,874.070248,197.90829,111.94394994922065,6793,6793,0,0,1.063106,0.42322198005333467,0.6008230452674898,146,42.59615384615385,55.144067796610166,57.125,59,60.682153909,4.431694915254237,6.73,44a214c22e,1,0.0,7.038891200505371,250000_4_high_bursty
44000,113.21,10000,5000,2,bursty,56.605,169.815,high,3,p10000_w2_high_bursty_r3,3,1790007955.6896904,0,1329.266,1307.010878,870.380612,91.21788733898937,6793,5593,0,1200,1.057263,0.44536388314507364,0.7615786040443575,4670,42.88461538461539,46.5375,48.125,60,61.314728538,4.9398333333333335,6.86,44a214c22e,1,0.17665243633151773,7.192382189174898,10000_2_high_bursty
44000,66.59,50000,25000,2,bursty,33.295,99.885,moderate,5,p50000_w2_moderate_bursty_r5,4,1790008128.8297968,0,6.477912,6.265931,5.667997,66.59848567253303,3996,3996,0,0,1.071519,0.32238362771058754,0.005833333333333334,7,42.57692307692308,45.50431034482759,47.625,58,60.00136429,3.532586206896552,4.95,44a214c22e,1,0.0,1.8683982362172264,50000_2_moderate_bursty
44000,113.21,10000,5000,2,steady,56.605,169.815,high,3,p10000_w2_high_steady_r3,5,1790008309.9503698,0,83.750214,60.48994,8.905752,113.21486376902092,6793,6793,0,0,1.056369,0.4918890854963498,0.8223629395100817,4935,42.15384615384615,48.775862068965516,50.5,58,60.000955474,5.5775862068965525,14.29,44a214c22e,1,0.0,4.427838725925792,10000_2_high_steady
44000,113.21,0,0,1,steady,56.605,169.815,high,1,p0_w1_high_steady_r1,6,1790008526.0653548,0,5.966366,5.695585,4.996368,113.21498219000648,6793,6793,0,0,1.061901,0.48854184951261576,0.0,0,42.15384615384615,48.3448275862069,50.5,58,60.000892714,4.80448275862069,4.76,44a214c22e,1,0.0,1.7861380318474749,0_1_high_steady
44000,113.21,250000,125000,1,steady,56.605,169.815,high,3,p250000_w1_high_steady_r3,7,1790008707.0686698,0,5.943869,5.689194,4.988738,113.21436459219373,6793,6793,0,0,1.060565,0.48909370422201925,0.029166666666666667,7,42.45192307692308,48.4375,50.0,58,60.001220026,4.803965517241379,5.88,44a214c22e,1,0.0,1.7823602681416395,250000_1_high_steady
44000,66.59,100000,50000,1,steady,33.295,99.885,moderate,1,p100000_w1_moderate_steady_r1,8,1790008878.065436,0,6.601416,6.354267,5.815155,66.59945555500079,3996,3996,0,0,1.08147,0.3276181836331428,0.0,0,42.63461538461539,45.939655172413794,49.5,58,60.000490495,3.7070689655172417,5.77,44a214c22e,1,0.0,1.8872841714753406,100000_1_moderate_steady
44000,113.21,10000,5000,1,bursty,56.605,169.815,high,5,p10000_w1_high_bursty_r5,9,1790009060.24049,0,1039.136865,991.777467,446.37503,106.82147328538365,6793,6527,0,266,1.055682,0.4205059713256716,0.662902961872034,4051,42.375,52.49576271186441,54.0,59,61.101947008,4.779999999999999,6.6,44a214c22e,1,0.0391579567201531,6.94614571004662,10000_1_high_bursty
44000,66.59,250000,125000,4,bursty,33.295,99.885,moderate,1,p250000_w4_moderate_bursty_r1,10,1790009232.3258393,0,6.575173,6.328912,5.705702,66.5984254611557,3996,3996,0,0,1.078257,0.3235796524823379,0.0,0,42.83653846153846,45.72844827586207,48.0,58,60.001418537,3.5237931034482757,6.86,44a214c22e,1,0.0,1.8833008895047516,250000_4_moderate_bursty
