iterations,rate,period_us,quota_us,workers,pattern,burst_low,burst_high,load,trial,run_id,duration_sec,warmup_sec,p99_ms,p50_ms,p95_ms,cpu_usage_cores,throttling_fraction,successful_rps,failed,flags
44000,113.21,0,0,1,bursty,56.605,169.815,high,1,p0_w1_high_bursty_r1,60,20,6.482211,4.30224,6.178122,0.44749664840405595,,113.21487722250792,0,
44000,113.21,0,0,1,bursty,56.605,169.815,high,2,p0_w1_high_bursty_r2,60,20,6.397895,4.284218,6.109108,0.4466169410730375,,113.21590590672612,0,
44000,113.21,0,0,1,bursty,56.605,169.815,high,3,p0_w1_high_bursty_r3,60,20,6.470731,4.306544,6.150327,0.44800516416174807,,113.21469733851852,0,
44000,113.21,0,0,1,bursty,56.605,169.815,high,4,p0_w1_high_bursty_r4,60,20,6.474247,4.29384,6.189481,0.4475885116237172,,113.21535835187247,0,
44000,113.21,0,0,1,bursty,56.605,169.815,high,5,p0_w1_high_bursty_r5,60,20,6.481957,4.297557,6.151849,0.4472031114562737,,113.21604371802931,0,
44000,113.21,0,0,1,steady,56.605,169.815,high,1,p0_w1_high_steady_r1,60,20,5.966366,4.996368,5.695585,0.48854184951261576,,113.21498219000648,0,
44000,113.21,0,0,1,steady,56.605,169.815,high,2,p0_w1_high_steady_r2,60,20,5.950023,4.986338,5.676474,0.4896579234096032,,113.21624687025796,0,
44000,113.21,0,0,1,steady,56.605,169.815,high,3,p0_w1_high_steady_r3,60,20,5.875232,4.968748,5.6576,0.48975713036957563,,113.21625184609378,0,
44000,113.21,0,0,1,steady,56.605,169.815,high,4,p0_w1_high_steady_r4,60,20,5.920735,5.004895,5.682085,0.48881536591541647,,113.21487682437522,0,
44000,113.21,0,0,1,steady,56.605,169.815,high,5,p0_w1_high_steady_r5,60,20,5.925567,4.994719,5.692511,0.49030073686621556,,113.21610208249574,0,
44000,66.59,0,0,1,bursty,33.295,99.885,moderate,1,p0_w1_moderate_bursty_r1,60,20,6.517848,5.691941,6.275903,0.3227841811288503,,66.59858956619036,0,
44000,66.59,0,0,1,bursty,33.295,99.885,moderate,2,p0_w1_moderate_bursty_r2,60,20,6.533738,5.651913,6.228967,0.32204942058724945,,66.59766651322204,0,
44000,66.59,0,0,1,bursty,33.295,99.885,moderate,3,p0_w1_moderate_bursty_r3,60,20,6.468152,5.684118,6.236769,0.3225637922928159,,66.59786124076525,0,
44000,66.59,0,0,1,bursty,33.295,99.885,moderate,4,p0_w1_moderate_bursty_r4,60,20,6.577583,5.740258,6.349556,0.3242495276110747,,66.59853400310018,0,
